pred,true,score
ptomtbjq,ctbmtbjd,5
cwlirhgq,cwlvrvsu,4
gaffbivm,gzfsbiwe,4
ctgozrlz,pgtbqrpr,1
kkmibmap,kxzvomnt,2
gmjckyoz,gzjpxybm,3
wzsjnjgd,wmswawtv,2
dvygumvo,dvlghreb,3
qrdgvyhd,qeqgiljh,2
ppwrvgwm,pcwevtwm,5
glagyqla,tyntyzpf,1
qvoijnhi,qioijniv,5
qvtafzpa,qvtakmon,4
youcxwuz,loupxjkz,4
gpsexhdi,gpsrkhqi,5
arcfxsie,aepfxfrj,3
gpoqhmpp,gcoquzbp,4
uesbkaux,hefbkajx,5
jkmsgkub,jxmsgkss,5
kaoasxrg,kaonwkng,4
atxoclxq,ntxoyyoq,4
rvcpxacd,rvccxaov,5
hsxckstq,hfxcxfxq,4
rkdubgpz,rkquogpm,5
nuqlnjee,nuqlnwar,5
gljtfege,tyjtsrse,3
ganmbqga,tnnzbutf,2
pifiublb,cifvuoqf,3
qorivhwe,qorivhjw,6
ejdkdbid,ewdkdowv,4
hidcublr,hidcubpe,6
rnmewvli,rammwipi,4
dddkgere,dddktene,6
gueidhgb,tueidhxb,6
knohtgub,knoutguo,6
ishkgvpp,isukgvcc,5
wrikbxwe,weikokfr,3
sdzdemgz,sqzdvnxz,4
auxaeuxz,nhkavibe,1
dbxlnpel,doxlnprg,5
bvcdcfur,oicdpfhj,3
alfgbjub,nlstowto,1
ddamrclr,dqamrclr,7
xrraaqum,xreamdtz,3
fofwkgnh,fosjgtai,2
edwrlfse,edjelsse,5
qsbfwfuc,dsofwsfz,3
fvkjazlc,fikjazcc,6
rdyilkwe,rdyvyfwr,4
bsmgoqqb,ojmtbqqb,4
pqhovcgc,pquovotp,4
ughdwlca,uuuqjtba,2
saggthpq,fntgghcq,3
dfpraagc,dscransu,3
ygmoqgea,ytmbqgea,6
hyggfpsv,uyggspfv,5
vpsmkekp,vqsmtexx,4
cxqtnxlz,pkdtakce,1
cyskaggu,cyfxeggv,4
accsxata,accsxnxa,6
viaoyyye,vinoyylu,5
udsrowlc,hqsrbwcx,3
qponuxul,dconukwg,3
qqwivcgp,dqjvicgs,3
uditzyuc,uqvtmyup,4
kfohnuhc,xfbuahhp,2
wwejbxgq,jjrwbxgl,3
rvogcvlq,rvbtliyq,3
vpuzyegb,ipuzyegs,6
uytskndb,uygfxaqo,2
micxfbyl,mickjoct,3
kjxqgqdn,krkqtzdf,3
rgznlsyc,rgmnyslx,4
wejazwup,jejnzwup,6
zlbcdapn,zyocdnca,3
muqofzde,mhqbfzdw,5
avwfcevr,avjspejj,3
upsvzzps,ucsvdzpt,5
uvlblmal,hvlblrag,5
fsbcvbgb,fwocingf,3
zdrfdsva,zqrfqsea,5
fiahfrdq,fvnusrdd,3
vyylcwqy,vyyldjql,5
vdkgusub,vdkghfzo,4
trsawalc,trfavnpc,4
qqykfngb,qqlkfakf,4
kzihebyp,kziueoqd,4
qvecjlrq,qiepjyaq,4
vrkkdulb,iexxdupb,3
mdjsvzqe,zdjsvmzw,4
ubnaoqge,uonabqfi,4
ptwkrvua,ptjxrvgm,4
welkfhrq,weyxjurd,3
jkwoketk,jkjbkrfx,3
leftvlai,yestvtai,5
gqgbfqjl,gdtbszjh,3
plsfrzsa,plfsemsw,3
ensqngvd,rafdntvy,2
gvcmjndp,tvpmwnmc,3
ujqakcdy,urqakxml,4
bpjfdquo,ocjfdqtf,4
doappmvp,qoacpeil,3
yuaaocla,yhnabpdn,2
faggomec,faggbmrx,5
etjjwvvb,rtjwvvef,3
wfkubumi,wfkhbhav,4
hzwgbngz,hmwgongv,5
yvxvtpic,likigpwx,1
rzmatmic,rmmntzvk,3
scclrvxc,fpclribp,3
ctkkmqba,ptkxzdbf,3
barzwqhf,onrzwzqs,3
dohykyqb,qbhlgyzb,3
vcpkrebl,ippxeebt,3
ubprdyhb,ubcrqlis,3
ggodmxul,gtodmxuy,6
cycrrwdc,clprrwqp,4
glkiyddn,tlkilqza,3
evetjuxq,evegjhbh,4
gcnhfalb,gcnusnpf,3
ubuobcul,houbbkhg,2
vdzlhslp,iqzyhslc,4
dwopmbzc,dvbcmonx,2
cladjvib,pynqjvrb,3
ecsrvtqg,rcsevtqg,6
dlxjvuwa,qykwvvwr,2
kicgfcgb,kvcgscgb,6
waklnjlr,jmxlnwcr,3
sgieuguz,shieugtm,5
rotyrcln,roglecca,3
nmomxclg,amozkppg,3
khedlhmi,xhrdyhzi,4
asajwmoo,asajvnos,5
ubbargcu,hobartou,4
bspikepb,bscixepf,5
pnazzbup,paazdohy,3
gijpmgel,gijcztng,3
yuswuwlo,lhfwuwcs,3
wuyibxge,whyioffi,3
ggenrbyr,ggearbyj,6
wxkzzkgb,wxxzzkkb,6
wsfeztho,wffmdtio,4
pprkbzhe,pprkbzuj,6
baafkhmp,bansxhmc,4
vpxppedr,vpkpprme,4
ffkknhdu,fwkxmudv,3
qadggmea,qndtgmrx,4
kcyiorhz,xpyibwvm,2
uxdszxub,ukqszkho,3
qzjjuhgz,dmjjuhkm,4
hshdclgd,hfhdpkgi,4
sowjvwmc,fbwwiwnx,2
krmvcnxa,xemipnoa,3
cvypcbpp,pilpyooc,1
rkpjpqac,ekpjcznc,4
bhkdutyp,bhxdhtqc,4
jsanmxgl,wwanzxkg,3
eceasvel,ecenfveg,5
kxopoilx,xkbcbiyk,1
afgccjtq,aftppjkd,3
kguooouc,kuhbsbhk,1
hwodoqlc,ujbdoqyy,3
goemovto,tbrmbvxk,2
akhkveta,nkhcirkn,2
uncdppdd,uacqycqi,2
kpaanetc,xqnnaegc,2
rvsejqdr,eifejqmj,3
mwjcrolr,zwjcropj,5
bkytfpjq,okytscwz,3
uhiiavgd,hhivnvgq,4
fztgwbuo,fmgtjoqf,1
mhypwbll,zhypvblt,5
qufgvslc,dhstiscl,1
ammsfvgv,nmmfwisi,2
duqlnjgz,qudlawgz,4
zcdgcqin,mcdgcqia,6
rcgdvelq,rptdirlq,4
wdxoyjgc,jqxoywtk,3
huxvcugz,hukvlsgz,5
zjmecgwm,mwzeltje,1
ypsfunvm,lcsfunjr,4
upylkcue,uqlyxcwj,2
nkxafyhr,axxafyye,4
zyzmlsgw,zymmlfxj,4
vnxsbjgb,vaxsbwgo,5
dnugpbwm,daugcowz,4
yiiafqcr,liinfqpw,4
bxarfxjq,bknrskjd,3
rvhfchez,rihspiee,3
gpprzzpv,gppezzci,5
fzoypxup,szblpxup,5
vyxrulur,vyxruyhr,6
bszgqwhq,bfmtdwwq,3
qswxxwvk,qrwkxjrt,3
vmuegvrb,izuegins,3
fvvmcxge,svvzckki,3
ikkiblby,ikkibyol,5
npyfkbfv,nclfxofi,3
dfgolsdy,dfgbyfml,3
kfhhbxiq,kshhbxiq,7
ekpqsbwc,ekpqfojy,4
qsnjnngd,qsawnngt,5
vulkseub,ihlxsefb,4
igilcmbl,iuvlpmbt,4
iiwvciar,vijipinj,2
syeshrdq,fyrshedh,4
gasvhyyp,gasvhyck,6
rmvaleer,ezvayrej,3
bggofzuq,oggbkmdq,3
bngycgpp,bnglpgpp,6
zshnuyla,zwunhlps,2
dsaackyp,qfaapklp,4
bxklcjta,bxxlcwta,6
wtmyrqbq,wgzlembq,3
kkhixxpc,kkuvxscu,3
pkimkcdb,pxvmtcqb,4
dkgjvazz,qxtjiaam,2
fiewchvq,fiewphrd,5
gswuksuc,tswhxjty,2
ddasvvrz,qqnfvvnz,3
euwalhge,rujnyhge,4
dalbriri,qalbriai,6
gmyypmql,gmyylezk,4
ugbbcedx,ugobpeqg,4
szogedhn,smogrdja,4
jfcajfeh,wspnjsrh,2
hhejcsqh,hurjlsmh,4
ysqssfgc,ywqswfxl,4
rrrtfqta,errgfmka,4
mssskntc,msssknsc,7
fodaclsb,fbdnlgso,3
wbafbtdg,woafbtdt,6
ztorkrtp,mtbexrxp,3
fgcvyjqx,shcvyjmk,4
grdszidn,grdfmvqa,3
wzcgusgc,wmpgusxx,4
vbsaacud,vosancfh,4
vzzdzbgz,imzdqokz,3
krmhpwvp,xemhyjrp,3
pixdyugl,pixdygkg,5
myjcruqr,zljcrude,4
galabbrb,tnlaoonb,3
ukgcumoz,uxgcueor,5
wyikflrf,jdikfgns,3
gfoboprp,gjobocrp,6
hsakcclz,hwacykyr,2
naupomvu,anupbmvu,5
mijksjfb,miwkfjfo,5
loocrlra,lobcetne,3
gzgvdhiy,gzgvdvil,6
noarpghu,abnrlthi,2
vpiomlel,vpvbmtat,3
ptajuata,pgnjhnta,4
scaizrge,sdnvmjtv,1
wwemrhhh,jwemrhiu,5
qzvdnnve,qmvdanwj,4
yltdzeta,yytdqrta,5
wafavztx,wasnvzxt,4
yomjxvwe,lbmjxvww,5
utechmgl,utrchext,4
ytojnpgc,lgbwapxc,2
ydmjbnib,yqzjonrs,3
qgambxwc,dtambxwt,5
dpnszzcz,qcafmzoz,2
kvqouagc,kiqbuntu,3
yqliwyac,ldyijyap,3
vapkwmgu,vacxwzxh,3
mxwomwlt,mxjbqjyg,2
ssztcgpb,ssztcgcb,7
aoofaggc,nobsrtsc,2
zsvzzvdp,zfizmiml,2
ftzhdlga,ftmhdpge,5
aoyypbfl,abyypofl,6
gdrvbmdd,gqeibrdk,3
ygdnhmdn,ytdaurza,2
knpxmfhq,kapxmfuh,5
czewfulr,pmejwhcw,1
mcssrqua,zpffeqds,1
brguklpt,brguklpt,8
sdlbhqlb,sdlbhqpo,6
wafwzuwm,jmswmuwr,3
bbxwfyiu,ookwwlvv,1
tdednbgc,tqrdabgc,5
gbhsbnhl,gohsbail,5
ujbbzxrq,heoodkrd,1
eacqbval,racqbvay,6
zpyekpbp,zplzkcop,4
gcsgzzpz,tlsgdmch,2
vykmpbrt,iyxmyont,3
feggbpgb,segtopxs,3
keogecgb,kebgvcgb,6
btkvpahp,ogkipnry,2
alciyupp,nycvlucp,3
ddzvcoyp,ddmvcbyl,5
ancefcyz,azcrkccm,3
ulxazlwd,uyknzywu,3
dzxucwvl,qmxhcwit,3
kbhmpaou,kbuzpabu,5
sdikjcmz,sdvxwcam,3
hsnjcdkp,ufawpdxl,1
yvsxrjhd,lisxrjhu,5
zpmscmgn,zpmspmgn,7
bowhfbpc,oajusbok,1
pawmohkq,pawzbukd,4
snfqwweh,fnfdvjeu,3
fqhdzgtq,squqqgsq,3
fzcatqdl,smpagddx,2
yfdczmvp,lwqpdmep,2
fwhzqtdn,fvhmqtdn,6
aubdnfxl,auoqzsot,2
uoxcnelz,hbxprrym,1
kojrwmun,kbwrirum,3
lsrzzhla,lfrzzupn,4
ydalxtuo,ldalxthb,5
ycanjmin,lpaajzva,2
picfhpzq,pipfhczq,6
cnscjbib,pnspwomb,3
jyjsjstp,jljswfky,3
zrkefkbq,mexmskbd,2
psgefltb,pfgrsykb,3
vnqgzsgb,iadgmsxf,2
qsemnxwl,djemnxjg,4
iuxlopum,vukybpsm,3
vrjjmyel,iejwmlrt,2
gcrujidn,tcehwvma,1
iyxjkggb,vlxjgtsf,2
viexdtum,ivrkqthe,1
ppihhadp,pcihhamp,6
pbzibqdk,pbzibqqx,6
laqifhka,lnqifvkf,5
zzlanldr,mmlaalme,3
flsmqhkq,slfzdukd,2
szatwmgb,smngweko,2
rzwndnud,ezjndayd,4
edecfhvz,rqrpsuvz,2
izkumxxv,imxhmkov,3
krgknxlh,krtknsyi,4
ctqgrdab,ctmgrqao,5
anqlwulz,aaqywice,3
kaocggem,kmopgtrm,4
jiadqqor,wvndddor,3
pqrabflc,pqenbspk,3
rlpdsqla,rlpdsmpa,6
wfyqjmhv,wfldwrui,2
eseukbmp,ejrugbal,3
zzwccjgd,mzjplwkx,1
vsbsdjzd,iwosdwzu,3
ansjwwlz,answwjpu,4
rchnfbga,rphafbkr,4
buljzdgq,ouywzqgd,3
cdytaclc,pqygnxyc,2
dscaffuf,dscaxwlf,5
fztgzbil,fzgtqoru,2
ubymjxml,hbyzjxnt,4
eidtpprr,ridtlpne,4
esekbqii,rsekodiv,4
fupafxcr,fhpnfxbj,4
bzzjuzla,ozejuzpr,4
avcgevvq,aiptvvvd,3
sgjkhjeo,sgjkhweb,6
pscfhtdz,cscfhgzz,5
dkaabepp,dxaaoepp,6
vladqvoz,iynqdvoz,3
bopjjzlz,bbprwmyz,3
wzaabcmq,jmnnopzd,0
pyhvlxqi,plhvlxmi,6
buccfgqp,bupcftqc,5
vydjuuhr,vyqjhhyj,3
uiirslpa,uiirwyps,5
ktgfbtll,xggsotpg,2
drzkzpyq,qrmkzpyu,5
wfghrqic,jstheqic,4
eoibjcwo,ebvbwkjb,2
qsijtxga,qsijtsga,7
fsrrzetc,swemzesl,2
krofjwvb,xroswwio,3
vdolhkdy,iqolhfzt,3
gkgrywlq,gtgryjlh,5
wqgjqegr,jqtwqjxe,2
jumtjkhe,wumgjkuj,4
rtkgqrgc,egxtdetx,0
kcudvbqa,kpudvbmn,5
yqekdqty,ldrxqqsl,1
wjeofuug,jreoshug,4
axqnuqtb,nkqaudkb,3
ixwfbsye,vxwsbfyr,4
myulnmue,zqudnzvw,2
fihrfcta,fvhescka,4
unufbcwd,unusbpwg,5
ichaelgq,vchnrtsv,2
syhyzxfq,flulmxfu,2
enisawta,rnifqwfa,4
gchizpgl,tpuizpgl,5
ypaonhqp,ycnbauzg,1
qdgscsyz,qdtspscm,4
bzgkuqto,omtxhqss,1
uzclbytd,hzpyohkq,1
qvwcjzxc,qvjcvzok,4
kzqojyuy,kmdbwyul,3
yysfstql,llffjtmg,2
hnwtcbla,hnwtybpe,5
mzjteauc,zmjtrnwp,2
yxcjeggc,ykcjegtk,5
acwvojgc,adwvojgk,6
kilajylr,xvynjlpr,2
atqrqevq,agdrqeed,4
bfldyhha,ofldlhra,5
yfxgbifp,lsxtoift,3
pdrllpuo,cqelyphs,2
bfhhuslq,beuhhfpi,2
aspvfzei,nscvxmev,3
bxppjcue,okcpvpjj,1
ydzikygf,ydzitggs,5
sciizsvq,fpiizfvq,5
bzloqcfc,ozlbqcfx,5
cfpdfhre,pspdsunj,2
ydxqgusz,lqxqghfe,3
abkdtaac,abkqtaak,6
phhgcdgp,cuugldkl,2
vaacbnvb,vancoajo,3
zrqqrtup,mrqdeguk,3
gntvvldi,gntviyzv,4
psanumdb,cwanhmdb,5
vtayqptq,itnyqckd,3
uzxuvlud,hmxuvtwg,3
vupovclr,vhpbipcr,3
ppinvqur,ppinidgr,5
ickzbybb,vpkzblbb,5
pohpprvq,coucprjq,4
bkglzlhh,blgldyhh,5
wkdunalb,jgdunnys,3
wsjqnguu,jswqagwt,3
aijhzvha,nijuzivn,3
fndjftuc,sndjstuc,6
gcmheavd,gczhvnrd,4
psifnpjm,cfifapjz,4
acsohkuq,acsbuxud,4
dchgdahy,qcugdady,5
qkvreyok,dkirrybk,4
kckksfdp,kcxxsfdy,5
yldfccgz,yldfccxz,7
mtvarawa,mgvnraws,5
isdclvez,isqpyiwz,3
kdsqwalv,kdsdwnci,4
abqjfstc,abdwssxc,4
hthzzatp,htumqaxp,4
bpgwopyp,ocgwbydc,2
cdclbfmb,cdpybfnf,4
vzymgwgb,vzlzgwxs,4
angxamge,natpantj,1
fyxwblwd,fykwblwu,6
kxeghvvv,xpetuivi,2
mngvvegq,zntvirkh,2
rkskvovk,exskibvk,4
uyyoeyhd,ulyoeluh,4
mmcaesry,mmparsal,4
qfbmqulp,dfozdhpx,1
wcibnzca,jcibnzor,5
uimlzzez,hizyzzrz,4
gvodmmrp,tibqzmac,1
qsrtkqun,djrtxqya,3
zffppqwv,mwfpcqsv,4
gfbdrjid,gjodrjvi,4
wjdlukir,wwdluxje,4
wvhghwlp,jihyujyl,1
rdskoeuc,eqfxoitc,2
fatdjlea,satdwlzs,4
upojzrzc,hpbwdrmx,2
wrhmnghm,weuzngum,4
rrchjmvb,erpujzeo,2
lbmlrpal,lozlepag,4
ywmdpkqq,ljmqykzx,2
uksgqkjw,ukstqkwj,5
lcqyhltq,lpqlhlkq,5
bmiqterp,omvdgeap,3
dzmnybha,qzmnlovs,3
vzoktsta,imbxtska,3
gfxhrggq,gskurttq,3
fukjczwm,fhkwpnfm,3
zibzrkas,mibzekns,5
pvhazmmx,cvhaqzax,4
jsbglvgd,wfotlikt,1
qjpefqtv,drcewdki,1
qscvqegl,qfcvdegx,5
ddugydro,ddutyqno,5
rmkdummb,rmkqunab,5
iddllkbz,vddllkom,5
ccwtwblz,ccwgjoyr,3
uomomuuc,uomomuvp,6
exnqmhdx,rxnqqhmg,4
wdhsxogc,wdusxotl,5
ryhlvzlr,elhyvmcw,2
cxsrzrrp,ckfrmerc,3
msrlbnul,mselonut,5
zpusdaqr,zchsdame,4
ptmjcagn,ptzwlagn,5
bcqtwhqi,bldtjvzv,2
ndlnnbhd,aqlanoqv,2
mojpuudr,zbwpuuzw,3
guatfbiz,guagsoiw,4
sbkbjebo,fokbjrbo,5
rrdkvmuy,eedkimhl,3
leniebsq,lrnirbwd,4
fqhmzhwe,sqummhsw,3
rflekvvy,eslzkiry,3
opwlpmim,opjlczee,3
hkkvwzcr,ukkijzbw,3
enskrwdc,rasxrwqx,3
ypmocclr,ypzblpyr,3
llefztdp,llefdkdp,6
eznrvwll,rmariwcg,2
dladclia,dyndpxva,3
plxatevp,plxntevp,7
muqgamuc,mudtnmfl,3
fnpenlse,fapmmlfe,4
bvtubota,bvthbotn,6
upiufqyi,uciusdyi,5
qdweugge,dqjeutgr,3
fclaomvq,fpyaozvd,4
pwxdfzgv,pvxqfmgv,5
ebxntmcl,ebkntmbg,5
vovllqor,iovyymbj,2
agojgrdp,ngojgedp,6
gixvkawe,gvxvtajw,4
ihhcuukp,ihuchhoc,3
bzeokgib,omroggjb,3
suwccetx,fhwppefx,3
rcygdbug,rpygqoht,3
gnadlcuo,gandykub,3
soadfvyz,fbadfvpz,5
yekuuwef,lexuujaf,4
ubasfypk,hbassyck,5
wjzleacz,wrryiaoz,3
ylzgqohb,ylmtdoif,3
yesmxjiy,yrfzxjwl,3
adaxlzll,aqnklzyt,3
wdsakgey,jdfaktey,5
unvkljhr,hnvxywdw,2
sonhdvgl,fbnuqikg,1
hzaacjyc,hzaapjxy,5
wnxjzrer,wnxwqrze,4
pxefglgm,ckrfglxe,3
drulbzub,qehloelo,1
gntdwsye,gngqisqr,3
pamakhhd,caznkuul,2
uksmocuz,uxszbpuz,4
rdshvnuh,edshvauh,6
apenpphd,nqrnyplv,2
rgbtpach,rtotlaoi,3
vwxjcggd,vjxjygsl,4
gkdibfsc,gkdvbfsu,6
weadlciy,wenqlcil,5
mdoheavl,mdournrl,4
mamikfex,mamvgsng,3
xkihbbgd,xxiubbtg,4
wcsakjhn,jcfaxjia,3
wahwnhiv,wmujauvi,1
bkpjbodd,okpjoodi,5
wzeubydq,wzeubydd,7
ebsvzegc,eosvzrgg,5
ltglmlto,lttymyks,3
jujxxrhl,jhjxkeut,3
cmhwbmdy,cmujorzy,3
gxickpgp,tkickpsd,4
ylzyyxun,lyzylxhn,4
rmgonmdb,rmtbarqs,2
erikridc,ervxrimp,4
grocbsaa,grbckfna,4
wiackcby,jvncxcol,2
gwwpzeuh,tjwczegh,4
gswjfhvz,tsjjjuiz,3
cvcoasin,pipbafvn,2
lcldqhbq,ycldqhbq,7
qrftwtyy,drftjtyy,6
ocswukzb,opsjuxao,3
hjgfgugc,hegfghxl,4
pokpfytz,cokpslxm,3
gfhhyznd,gshulrny,3
yhwrpiep,yhjelvrp,3
wcikawwo,jdvkrjwf,2
kdnhhhgz,kqahuukz,3
vnhwrqpa,vmhjedcs,2
fwkfhnhm,fjksunvd,3
inzhbsud,vazubfqq,2
rnfhreln,eafhvrln,4
iqekuggm,iqrxhtxr,2
akshbbtb,alsqbofx,3
wdkdkctc,wdxdkcxp,5
ydmkppiy,ydmxlpvy,5
poqghhgz,podthhtm,4
uidsvmub,uidfimsb,5
prrelslz,peeelspz,5
aamkzhda,azzkdjzn,2
uodkbteb,ubdkbteo,6
qfyfkclq,qwyfkpch,4
xhidufhp,xuvqufip,4
gdzidclo,gdzvdxcf,4
gfdubhde,gsqhbudj,3
ppprovhh,ccpeovwu,3
atvrzrex,ntirqrax,4
vroewudu,vebrwudv,4
bshgcqtb,bshtpqts,5
wnibzrba,jzvbzjbr,3
byppklur,olppgldr,4
fdmgmyel,fqzgzleg,3
azxodndo,nmkbdnqb,2
wnyeffgq,wnlessgx,4
pkfmcplz,pkfmlpcm,5
gtxlzewe,tgxlmefr,3
ixopplai,vkbccgni,1
kxqiffra,kyqifsar,4
uwbbbbzc,uvbbbbzg,6
yiireyud,lvvrrlhd,2
skdrrwuq,sgdrrwsu,5
ckzmwblp,pxmzjbyy,1
pjxjyxyb,prxwyxyk,5
esayvcvy,rsnliciy,3
ufssndue,uwffndvj,3
hvcsyzyx,hvcsyzlx,7
bcomnscc,bcozafoc,4
bkwrtspr,bgwetfbv,3
apsoukuo,npfbuksf,3
akerjjrp,ayrejwax,2
clglzrbc,plglqrbk,5
lawseeoc,lajsrrbp,3
avkazzcb,avxnmzbb,4
vtadkzvy,igadkail,3
fiqraqgb,sidendto,1
clfiwzwr,pysiweje,2
hixhrmur,hixhenhr,5
ffpzrddo,ffczedmf,4
lnaddndq,lnaddaqq,6
avgoclyr,nvgbcllw,4
gdyagsii,gdlagsri,6
qcqlrblx,qddyrblt,4
kutmwbqa,kutzwbmn,5
vywcmzul,ilwcmnty,3
vszuesgd,vszuesxk,6
wdmjqxro,jdzwdxnk,2
mgofflge,mtofsysw,3
uysgjqdc,hysgjmzp,4
yzdgkhwb,ymqtxijb,2
gvmdzxwl,tizdqfwy,2
yzaonyda,yzabaydn,5
cgoarszp,ctonrfmp,4
xiodzxlq,xvodmkcd,3
wayfdtdh,jzlfqtqv,2
byzpgqhr,olmpgdye,2
zawvkgyp,zzwvktyx,5
uygebatc,hltzkash,1
zrdifdwb,mrqifqjb,4
dcmoveus,dpzbirvs,2
aohwkyib,nouwgyib,5
gyoqfhfh,gyoqfufu,6
rlyhkvdq,ryyhtvpq,5
clhunwtb,cyhhnwfb,5
auxakdtb,auxaxdfo,5
ggeclhgx,tgeclusg,4
sazmovgc,fnmmovtx,3
hrmkkyxa,hrzkkybn,5
zaajxwrz,mnajkwam,3
tzgtacwc,tmttncjm,3
aozacwwp,abmncwjp,4
vpgyqkus,iptydkys,4
znqnfsdr,madasfqe,0
cmmpjqre,cmmcjdnw,4
qhwgcegf,dujgcrkf,3
bsagvxvd,ofagifvg,3
yucksnqp,lhpkfnmp,3
nsjtfcqz,nfjtspdm,3
jiofzdhm,jiosddkm,5
ensfwygd,enffjyti,4
rrbrtmyx,erorgmyk,4
evvhzfdp,riihdszy,1
gucscslb,tucspsco,4
hwahhzvy,ujnhhaml,2
assrczlr,nfsrlmlj,3
camwfyhq,pamwjlzh,3
pgoaexrp,cgonvkrp,4
vkzsqagd,vxzsdngx,4
kseipziy,kjrvlnjy,2
kdjtuvee,xqwguvrw,2
hbyifpsq,uocvfxfd,1
foppkqab,soppxzas,4
azarrnhq,amnrenid,3
ysoiymuo,yfbiymuf,5
dzozqxql,dmbmdxdh,2
wvkocbtp,jixocbxc,3
bkafulzq,oxnsulmh,2
bfgubolh,bsgubblv,5
yxlflkwb,lxyfyxwb,4
gdadjevb,gdadjjeb,6
yviksfsq,liixffsl,3
pxgfggvp,pxgfggip,7
ecdctgba,rcdcttbn,5
pnlmpnkd,pnlzcasd,4
woapcvue,jbncpifw,0
wrjincym,wrwinoym,6
gqhuclwc,gduhctwu,3
vpjrzdvz,vpwrmdiz,5
sbuygmxl,sohygexh,4
cvmedwep,pimeqwry,3
wazqdmga,wamqqzgs,4
aukgmqrb,nhxgzdaf,1
cpketpoz,pdxetpoz,5
vpegjpic,iyrgwpvx,2
vdkfhzdq,iqkshmdq,4
avhszftl,nvusdfxg,3
lkjlrqxz,yxwyiqbm,1
gjcukldi,gwphkyzi,3
lpspmveq,lpspmirq,6
dcfguvye,dpfthvyw,4
dprfvxiz,dprfikvm,4
allcepjq,allcecjq,7
awcmbwlq,nwpmbjpd,3
dwcyyrld,qjpyyryl,3
ujemkxhh,hermkkih,3
bswjzwtc,owwwmwxl,2
hymglgge,hyzgytfi,3
qiaifssb,qiaissnf,5
broonptq,oeobacsd,1
iswuyibu,vwwuyibg,5
ggmcvbqc,gtmcibzk,4
kuokfrud,xhokjrud,5
zuwppmvz,zuwppnir,5
uumfsbiz,uumfsbva,6
qbzirngc,dozienfc,4
kghlxzhq,ktulxmqh,3
vxglkilt,ixtyxvyg,1
txsbzbio,tksbdowb,3
gcklgela,gpxltels,4
kgiaxhgm,ktiaxuge,5
adzmzula,nqzmmicn,2
vzsgvslx,vmsgisyt,4
wgshgqhq,wgsutzdu,3
lzdrnrvd,ymdenjvi,3
vksdyzpb,vksdleps,5
cyryqydk,cleydydx,4
lvckflaq,lickslad,5
mfdjqphm,mfqjdcir,3
baopcmum,onbpprhe,1
qlbkilgc,dlokigxp,3
vmqkvhed,vmqxiuau,3
grdixeca,trqixeor,4
qnoyqblk,qnoyqopk,6
kdoczclp,xdbpzkcy,2
zwonzddr,zwbndqzw,3
kxhqyqgo,xkhqyqgf,5
bzqjwnvq,bmdrjavk,2
uwmyuxdq,ujzyuxzq,5
ksxjwbkc,kfxjwoky,5
wskgkhvv,wwkgtiiv,4
kgaokhhr,kgaogiye,4
qvnezqld,dinemmcl,2
ggcjkwid,tgcwkjix,4
gkejrnhm,gxrjenqe,3
gzogkagc,gzblgnxx,2
dnmcmqvz,dzmpzdvd,3
bpofhqep,bcofhqex,6
qlqmxmpe,qlqzkzoi,3
cylcfpuo,cllpscff,2
hhnhzpeq,uuaumcrv,0
dzbjzdyz,dzbjmqpm,4
acpwzdwl,acpjzqwg,5
rgomcgyp,etomytlc,2
ineunmsl,inrunmft,5
gcyacesa,tpyapesn,4
lngikwtd,lngixwxq,5
wkhqbnzw,wxudbarw,3
yldxppel,lydxppru,4
pbhajesl,pbunjrsg,4
sriouhus,srvouuqf,4
vqmkvvvp,vdmxvivt,4
sasqrqlx,snfqrqlx,6
ueaizsvp,henvdfvc,2
rzghzzlq,rzghzzld,7
qofrkpuq,dasmgpju,1
abzjqaao,abmjqnas,5
lxohntlp,lkohntqp,6
uzcyzfvp,umcyzsip,5
wddgtola,wqqytoyn,3
vwfgghtc,vefgtufx,3
bqhoequx,bqhoeqfk,6
gklmecdr,gxyzrczw,2
ubzrffhh,hbmrffqu,4
bjpfrlie,bepseyrw,2
kloknmra,xlbxnrnn,2
wcoczyln,wpopdlyn,3
knxibhhg,kaxibhit,5
bofsomgb,obskozxs,1
ffghekcd,fsturkcy,3
quyofvgc,quybxvgc,6
ytogqpeb,ytotdcef,4
bdsjtqqq,bqswgqmd,3
wsfjpzad,jsswpznl,3
sssvhqlq,ffsvhqcu,4
ppxicytq,cqxvlyxd,2
vremuugl,veezhutg,3
gohmowlr,gohzbwkw,4
rzpefdce,rzpefdbw,6
zdmlogoz,zdzlogoz,7
ljeejwdl,yremwjmt,1
yvdmofwp,yidzojwp,5
fkpgjatl,sxptjnst,2
zroknady,mroknadl,6
bszipzra,bszvcmnr,3
gjeafegf,tirnjetu,1
zbdswbjc,zodsjowk,3
gyhyegxc,tyuyvgoy,3
pbqrkmvq,poqrxejq,4
ciqucvlr,cvqhpvcv,3
abgbamgc,nogcamgl,4
drcrdsei,qrcedsai,5
akekfxge,axrxsfsw,1
gcihsvll,gcvhfiyy,3
plwucigr,clwhpvgr,4
iuhhaxup,vhhhakip,4
rgqpgedm,rgqpgrdz,6
hjseextr,uefzikxw,0
qnhbrvll,qnubrilg,5
gtasfcaa,ggnfsbar,2
kjpikhwa,kwcvkhwf,4
byxukltd,bdkhxksg,1
nnnmnbaz,annzabaq,4
ylgmxyyx,lytmxllx,3
